data_id,sensor_name,timestamp,measurement_type,value
7500,Photoresistor Sensor,1749289219,voltage,0.61
7501,Photoresistor Sensor,1749289221,light_value,907.0
7501,Photoresistor Sensor,1749289221,voltage,0.73
7502,Photoresistor Sensor,1749289224,light_value,914.0
7502,Photoresistor Sensor,1749289224,voltage,0.74
7503,Photoresistor Sensor,1749289226,light_value,912.0
7503,Photoresistor Sensor,1749289226,voltage,0.73
7504,Photoresistor Sensor,1749289228,light_value,921.0
7504,Photoresistor Sensor,1749289228,voltage,0.74
7505,Photoresistor Sensor,1749289231,light_value,871.0
7505,Photoresistor Sensor,1749289231,voltage,0.7
7506,Photoresistor Sensor,1749289233,light_value,823.0
7506,Photoresistor Sensor,1749289233,voltage,0.66
7507,Photoresistor Sensor,1749289236,light_value,907.0
7507,Photoresistor Sensor,1749289236,voltage,0.73
7508,Photoresistor Sensor,1749289238,light_value,913.0
7508,Photoresistor Sensor,1749289238,voltage,0.74
7509,Photoresistor Sensor,1749289240,light_value,771.0
7509,Photoresistor Sensor,1749289240,voltage,0.62
7510,Photoresistor Sensor,1749289243,light_value,904.0
7510,Photoresistor Sensor,1749289243,voltage,0.73
7511,Photoresistor Sensor,1749289245,light_value,919.0
7511,Photoresistor Sensor,1749289245,voltage,0.74
7512,Photoresistor Sensor,1749289247,light_value,912.0
7512,Photoresistor Sensor,1749289247,voltage,0.73
7513,Photoresistor Sensor,1749289250,light_value,913.0
7513,Photoresistor Sensor,1749289250,voltage,0.74
7514,Photoresistor Sensor,1749289252,light_value,913.0
7514,Photoresistor Sensor,1749289252,voltage,0.74
7515,Photoresistor Sensor,1749289255,light_value,850.0
7515,Photoresistor Sensor,1749289255,voltage,0.68
7516,Photoresistor Sensor,1749289257,light_value,858.0
7516,Photoresistor Sensor,1749289257,voltage,0.69
7517,Photoresistor Sensor,1749289259,light_value,902.0
7517,Photoresistor Sensor,1749289259,voltage,0.73
7518,Photoresistor Sensor,1749289262,light_value,919.0
7518,Photoresistor Sensor,1749289262,voltage,0.74
7519,Photoresistor Sensor,1749289264,light_value,917.0
7519,Photoresistor Sensor,1749289264,voltage,0.74
7520,Photoresistor Sensor,1749289267,light_value,908.0
7520,Photoresistor Sensor,1749289267,voltage,0.73
7521,Photoresistor Sensor,1749289269,light_value,922.0
7521,Photoresistor Sensor,1749289269,voltage,0.74
7522,Photoresistor Sensor,1749289272,light_value,912.0
7522,Photoresistor Sensor,1749289272,voltage,0.73
7523,Photoresistor Sensor,1749289274,light_value,915.0
7523,Photoresistor Sensor,1749289274,voltage,0.74
7524,Photoresistor Sensor,1749289276,light_value,913.0
7524,Photoresistor Sensor,1749289276,voltage,0.74
7525,Photoresistor Sensor,1749289279,light_value,914.0
7525,Photoresistor Sensor,1749289279,voltage,0.74
7526,Photoresistor Sensor,1749289281,light_value,911.0
7526,Photoresistor Sensor,1749289281,voltage,0.73
7527,Photoresistor Sensor,1749289283,light_value,907.0
7527,Photoresistor Sensor,1749289283,voltage,0.73
7528,Photoresistor Sensor,1749289286,light_value,919.0
7528,Photoresistor Sensor,1749289286,voltage,0.74
7529,Photoresistor Sensor,1749289288,light_value,912.0
7529,Photoresistor Sensor,1749289288,voltage,0.73
7530,Photoresistor Sensor,1749289291,light_value,850.0
7530,Photoresistor Sensor,1749289291,voltage,0.68
7531,Photoresistor Sensor,1749289293,light_value,659.0
7531,Photoresistor Sensor,1749289293,voltage,0.53
7532,Photoresistor Sensor,1749289295,light_value,654.0
7532,Photoresistor Sensor,1749289295,voltage,0.53
7533,Photoresistor Sensor,1749289298,light_value,658.0
7533,Photoresistor Sensor,1749289298,voltage,0.53
7534,Photoresistor Sensor,1749289300,light_value,683.0
7534,Photoresistor Sensor,1749289300,voltage,0.55
7535,Photoresistor Sensor,1749289302,light_value,631.0
7535,Photoresistor Sensor,1749289302,voltage,0.51
7536,Photoresistor Sensor,1749289305,light_value,893.0
7536,Photoresistor Sensor,1749289305,voltage,0.72
7537,Photoresistor Sensor,1749289307,light_value,911.0
7537,Photoresistor Sensor,1749289307,voltage,0.73
7538,Photoresistor Sensor,1749289310,light_value,919.0
7538,Photoresistor Sensor,1749289310,voltage,0.74
7539,Photoresistor Sensor,1749289312,light_value,912.0
7539,Photoresistor Sensor,1749289312,voltage,0.73
7540,Photoresistor Sensor,1749289314,light_value,896.0
7540,Photoresistor Sensor,1749289314,voltage,0.72
7541,Photoresistor Sensor,1749289317,light_value,913.0
7541,Photoresistor Sensor,1749289317,voltage,0.74
7542,Photoresistor Sensor,1749289319,light_value,925.0
7542,Photoresistor Sensor,1749289319,voltage,0.75
7543,Photoresistor Sensor,1749289321,light_value,648.0
7543,Photoresistor Sensor,1749289321,voltage,0.52
7544,Photoresistor Sensor,1749289324,light_value,705.0
7544,Photoresistor Sensor,1749289324,voltage,0.57
7545,Photoresistor Sensor,1749289326,light_value,694.0
7545,Photoresistor Sensor,1749289326,voltage,0.56
7546,Photoresistor Sensor,1749289329,light_value,603.0
7546,Photoresistor Sensor,1749289329,voltage,0.49
7547,Photoresistor Sensor,1749289331,light_value,496.0
7547,Photoresistor Sensor,1749289331,voltage,0.4
7548,Photoresistor Sensor,1749289333,light_value,476.0
7548,Photoresistor Sensor,1749289333,voltage,0.38
7549,Microwave Radar Sensor,1749289336,motion_detected,0.0
7550,Photoresistor Sensor,1749289338,light_value,507.0
7550,Photoresistor Sensor,1749289338,voltage,0.41
7551,Photoresistor Sensor,1749289340,light_value,481.0
7551,Photoresistor Sensor,1749289340,voltage,0.39
7552,Photoresistor Sensor,1749289343,light_value,510.0
7552,Photoresistor Sensor,1749289343,voltage,0.41
7553,Photoresistor Sensor,1749289345,light_value,481.0
7553,Photoresistor Sensor,1749289345,voltage,0.39
7554,Photoresistor Sensor,1749289348,light_value,562.0
7554,Photoresistor Sensor,1749289348,voltage,0.45
7555,Photoresistor Sensor,1749289350,light_value,533.0
7555,Photoresistor Sensor,1749289350,voltage,0.43
7556,Photoresistor Sensor,1749289353,light_value,489.0
7556,Photoresistor Sensor,1749289353,voltage,0.39
7557,Photoresistor Sensor,1749289355,light_value,739.0
7557,Photoresistor Sensor,1749289355,voltage,0.6
7558,Photoresistor Sensor,1749289357,light_value,724.0
7558,Photoresistor Sensor,1749289357,voltage,0.58
7559,Photoresistor Sensor,1749289360,light_value,735.0
7559,Photoresistor Sensor,1749289360,voltage,0.59
7560,Photoresistor Sensor,1749289362,light_value,839.0
7560,Photoresistor Sensor,1749289362,voltage,0.68
7561,Photoresistor Sensor,1749289365,light_value,683.0
7561,Photoresistor Sensor,1749289365,voltage,0.55
7562,Photoresistor Sensor,1749289367,light_value,695.0
7562,Photoresistor Sensor,1749289367,voltage,0.56
7563,Photoresistor Sensor,1749289369,light_value,691.0
7563,Photoresistor Sensor,1749289369,voltage,0.56
7564,Photoresistor Sensor,1749289372,light_value,709.0
7564,Photoresistor Sensor,1749289372,voltage,0.57
7565,Photoresistor Sensor,1749289374,light_value,707.0
7565,Photoresistor Sensor,1749289374,voltage,0.57
7566,Photoresistor Sensor,1749289376,light_value,715.0
7566,Photoresistor Sensor,1749289376,voltage,0.58
7567,Photoresistor Sensor,1749289379,light_value,767.0
7567,Photoresistor Sensor,1749289379,voltage,0.62
7568,Photoresistor Sensor,1749289381,light_value,770.0
7568,Photoresistor Sensor,1749289381,voltage,0.62
7569,Photoresistor Sensor,1749289384,light_value,720.0
7569,Photoresistor Sensor,1749289384,voltage,0.58
7570,Photoresistor Sensor,1749289386,light_value,688.0
7570,Photoresistor Sensor,1749289386,voltage,0.55
7571,Photoresistor Sensor,1749289389,light_value,655.0
7571,Photoresistor Sensor,1749289389,voltage,0.53
7572,Photoresistor Sensor,1749289391,light_value,606.0
7572,Photoresistor Sensor,1749289391,voltage,0.49
7573,Photoresistor Sensor,1749289394,light_value,657.0
7573,Photoresistor Sensor,1749289394,voltage,0.53
7574,Photoresistor Sensor,1749289396,light_value,683.0
7574,Photoresistor Sensor,1749289396,voltage,0.55
7575,Photoresistor Sensor,1749289398,light_value,690.0
7575,Photoresistor Sensor,1749289398,voltage,0.56
7576,Photoresistor Sensor,1749289401,light_value,688.0
7576,Photoresistor Sensor,1749289401,voltage,0.55
7577,Photoresistor Sensor,1749289403,light_value,693.0
7577,Photoresistor Sensor,1749289403,voltage,0.56
7578,Photoresistor Sensor,1749289406,light_value,656.0
7578,Photoresistor Sensor,1749289406,voltage,0.53
7579,Photoresistor Sensor,1749289408,light_value,688.0
7579,Photoresistor Sensor,1749289408,voltage,0.55
7580,Photoresistor Sensor,1749289410,light_value,672.0
7580,Photoresistor Sensor,1749289410,voltage,0.54
7581,Photoresistor Sensor,1749289413,light_value,707.0
7581,Photoresistor Sensor,1749289413,voltage,0.57
7582,Photoresistor Sensor,1749289415,light_value,706.0
7582,Photoresistor Sensor,1749289415,voltage,0.57
7583,Photoresistor Sensor,1749289418,light_value,703.0
7583,Photoresistor Sensor,1749289418,voltage,0.57
7584,Photoresistor Sensor,1749289420,light_value,720.0
7584,Photoresistor Sensor,1749289420,voltage,0.58
7585,Photoresistor Sensor,1749289422,light_value,795.0
7585,Photoresistor Sensor,1749289422,voltage,0.64
7586,Temperature Sensor,1749289425,temperature,22.0
7587,Photoresistor Sensor,1749289427,light_value,786.0
